============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:36:03 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_NAND4ABX25         15     179.400      0.419      65.329    CORE65LPSVT 
HS65_LS_NAND4ABX3           1       3.640      0.005       0.315    CORE65LPSVT 
HS65_LS_NAND4ABX6          19      79.040      0.065      12.190    CORE65LPSVT 
HS65_LS_NAND4X27            1       8.320      0.023       1.181    CORE65LPSVT 
HS65_LS_NAND4X35            1       9.360      0.032       1.463    CORE65LPSVT 
HS65_LS_NOR2AX13          723    3007.680      6.654    1350.402    CORE65LPSVT 
HS65_LS_NOR2AX19          318    1818.960      4.232     833.442    CORE65LPSVT 
HS65_LS_NOR2AX25           96     648.960      1.691     356.109    CORE65LPSVT 
HS65_LS_NOR2AX3          1315    3419.000      3.337     971.458    CORE65LPSVT 
HS65_LS_NOR2AX6           630    1965.600      2.764     669.612    CORE65LPSVT 
HS65_LS_NOR2X13          1738    6326.320     11.227    2081.227    CORE65LPSVT 
HS65_LS_NOR2X19          1254    6520.800     12.980    2357.787    CORE65LPSVT 
HS65_LS_NOR2X25           961    5996.640     13.512    2326.116    CORE65LPSVT 
HS65_LS_NOR2X38           671    5931.640     14.800    2309.193    CORE65LPSVT 
HS65_LS_NOR2X5              4       8.320      0.009       1.485    CORE65LPSVT 
HS65_LS_NOR2X50           143    1710.280      4.489     635.984    CORE65LPSVT 
HS65_LS_NOR2X6           2522    5245.760      7.165    1433.044    CORE65LPSVT 
HS65_LS_NOR2X9            185     673.400      0.921     190.311    CORE65LPSVT 
HS65_LS_NOR3AX13           22     171.600      0.254      33.151    CORE65LPSVT 
HS65_LS_NOR3AX18           17     167.960      0.262      40.044    CORE65LPSVT 
HS65_LS_NOR3AX2             8      24.960      0.022       2.314    CORE65LPSVT 
HS65_LS_NOR3AX4             4      14.560      0.013       1.852    CORE65LPSVT 
HS65_LS_NOR3AX9            10      57.200      0.065      10.327    CORE65LPSVT 
HS65_LS_NOR3X13            28     189.280      0.269      49.080    CORE65LPSVT 
HS65_LS_NOR3X18            18     159.120      0.253      47.780    CORE65LPSVT 
HS65_LS_NOR3X26            40     457.600      0.735     144.477    CORE65LPSVT 
HS65_LS_NOR3X35             9     135.720      0.285      47.831    CORE65LPSVT 
HS65_LS_NOR3X4             17      44.200      0.040       8.120    CORE65LPSVT 
HS65_LS_NOR3X7              2       9.360      0.002       1.581    CORE65LPSVT 
HS65_LS_NOR3X9             33     154.440      0.167      33.676    CORE65LPSVT 
HS65_LS_NOR4ABX13          20     197.600      0.272      33.272    CORE65LPSVT 
HS65_LS_NOR4ABX18           8      95.680      0.185      21.539    CORE65LPSVT 
HS65_LS_NOR4ABX2            4      14.560      0.009       1.073    CORE65LPSVT 
HS65_LS_NOR4ABX4           30     124.800      0.135      15.648    CORE65LPSVT 
HS65_LS_NOR4ABX9           48     299.520      0.447      50.583    CORE65LPSVT 
HS65_LS_NOR4X18             5      33.800      0.054       8.473    CORE65LPSVT 
HS65_LS_NOR4X4              1       5.200      0.005       0.462    CORE65LPSVT 
HS65_LS_NOR4X9              8      45.760      0.042       8.748    CORE65LPSVT 
HS65_LS_OA112X18           31     145.080      0.318      62.239    CORE65LPSVT 
HS65_LS_OA112X27            3      24.960      0.054       7.020    CORE65LPSVT 
HS65_LS_OA112X35            5      46.800      0.117      16.897    CORE65LPSVT 
HS65_LS_OA112X9            32     133.120      0.172      26.902    CORE65LPSVT 
HS65_LS_OA12X18           500    2080.000      5.565    1601.152    CORE65LPSVT 
HS65_LS_OA12X27           219    1594.320      3.890    1015.712    CORE65LPSVT 
HS65_LS_OA12X35            99     772.200      2.380     612.605    CORE65LPSVT 
HS65_LS_OA12X4              1       3.640      0.003       1.263    CORE65LPSVT 
HS65_LS_OA12X9            402    1463.280      2.017     593.468    CORE65LPSVT 
HS65_LS_OA212X18            1       6.240      0.012       4.258    CORE65LPSVT 
HS65_LS_OA212X4             3      15.600      0.010       3.645    CORE65LPSVT 
HS65_LS_OA212X9             1       5.720      0.005       0.768    CORE65LPSVT 
HS65_LS_OA22X18             1       5.720      0.010       4.323    CORE65LPSVT 
HS65_LS_OA22X9             23     107.640      0.111      49.480    CORE65LPSVT 
HS65_LS_OA31X9             10      41.600      0.044      20.434    CORE65LPSVT 
HS65_LS_OAI112X11          82     511.680      0.705     141.491    CORE65LPSVT 
HS65_LS_OAI112X16          51     450.840      0.488     137.482    CORE65LPSVT 
HS65_LS_OAI112X22          20     249.600      0.401      56.596    CORE65LPSVT 
HS65_LS_OAI112X33           6     106.080      0.185      36.505    CORE65LPSVT 
HS65_LS_OAI112X5          131     476.840      0.589     144.826    CORE65LPSVT 
HS65_LS_OAI12X12          889    4622.800      8.888    1603.674    CORE65LPSVT 
HS65_LS_OAI12X18          990    6692.400     15.734    2558.655    CORE65LPSVT 
HS65_LS_OAI12X24          372    3288.480      8.274    1184.538    CORE65LPSVT 
HS65_LS_OAI12X3           104     270.400      0.185      37.489    CORE65LPSVT 
HS65_LS_OAI12X37          192    2496.000      6.697     609.012    CORE65LPSVT 
HS65_LS_OAI12X49           73    1252.680      3.203     289.149    CORE65LPSVT 
HS65_LS_OAI12X5            15      46.800      0.047      10.289    CORE65LPSVT 
HS65_LS_OAI12X6           423    1319.760      1.962     401.486    CORE65LPSVT 
HS65_LS_OAI12X9            18      93.600      0.146      23.969    CORE65LPSVT 
HS65_LS_OAI13X10           15      93.600      0.135      59.331    CORE65LPSVT 
HS65_LS_OAI13X15            3      26.520      0.036       8.690    CORE65LPSVT 
HS65_LS_OAI13X20            2      23.920      0.037       3.281    CORE65LPSVT 
HS65_LS_OAI13X30            3      51.480      0.055      10.124    CORE65LPSVT 
HS65_LS_OAI13X40            1      22.880      0.028       2.896    CORE65LPSVT 
HS65_LS_OAI13X5            13      47.320      0.064      13.060    CORE65LPSVT 
HS65_LS_OAI211X11          23     143.520      0.207      30.763    CORE65LPSVT 
HS65_LS_OAI211X16          25     221.000      0.292      41.482    CORE65LPSVT 
HS65_LS_OAI211X22          21     262.080      0.301      58.302    CORE65LPSVT 
HS65_LS_OAI211X33           5      88.400      0.130      16.349    CORE65LPSVT 
HS65_LS_OAI211X44           2      46.800      0.108      11.901    CORE65LPSVT 
HS65_LS_OAI211X5           41     149.240      0.221      45.704    CORE65LPSVT 
HS65_LS_OAI211X8           14      87.360      0.107      11.837    CORE65LPSVT 
HS65_LS_OAI212X10          22     183.040      0.270      70.469    CORE65LPSVT 
HS65_LS_OAI212X15          33     360.360      0.623     159.970    CORE65LPSVT 
