============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  02:08:43 pm
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
    addinc_PUs..S23_add_18_16    50     0.515     45.735    41.377         87.111            87.627 
    addinc_PUs..S23_add_18_16    50     0.514     47.743    44.141         91.884            92.398 
    addinc_PUs.._S3_add_18_16    50     0.514     47.157    43.228         90.385            90.899 
    addinc_PUs..S23_add_18_16    49     0.513     44.498    39.821         84.319            84.833 
    addinc_PUs.._S3_add_18_16    51     0.513     45.516    44.163         89.679            90.192 
    addinc_PUs.._S3_add_18_16    50     0.511     45.279    41.696         86.976            87.487 
    addinc_PUs.._S3_add_18_16    49     0.508     49.493    45.619         95.113            95.621 
    addinc_PUs..S23_add_18_16    49     0.507     44.122    40.846         84.968            85.476 
    addinc_PUs.._S3_add_18_16    49     0.507     45.528    42.308         87.836            88.344 
    addinc_PUs..S23_add_18_16    49     0.507     43.727    41.119         84.846            85.353 
    addinc_PUs.._S3_add_18_16    49     0.507     47.518    43.424         90.942            91.449 
    addinc_PUs..S23_add_18_16    49     0.506     45.591    41.919         87.509            88.016 
    addinc_PUs..S23_add_18_16    49     0.506     44.936    41.306         86.242            86.748 
    addinc_PUs..S23_add_18_16    49     0.505     45.532    41.916         87.447            87.952 
    addinc_PUs.._S3_add_18_16    49     0.504     45.981    41.580         87.562            88.066 
    addinc_PUs..S23_add_18_16    49     0.502     44.721    41.465         86.186            86.688 
    addinc_PUs..S23_add_18_16    50     0.501     45.781    42.803         88.585            89.085 
    addinc_PUs.._S3_add_18_16    49     0.501     42.633    39.463         82.096            82.597 
    addinc_PUs..S23_add_18_16    49     0.499     46.596    43.859         90.455            90.954 
    addinc_PUs.._S3_add_18_16    49     0.499     46.367    42.730         89.098            89.597 
    addinc_PUs..S23_add_18_16    49     0.498     45.213    41.595         86.809            87.307 
    addinc_PUs..S23_add_18_16    49     0.497     43.234    39.635         82.868            83.365 
    addinc_PUs.._S3_add_18_16    49     0.496     45.792    42.631         88.424            88.920 
    addinc_PUs.._S3_add_18_16    49     0.494     45.975    42.373         88.348            88.842 
    addinc_PUs.._S3_add_18_16    49     0.492     41.076    38.488         79.564            80.056 
    addinc_PUs..S23_add_18_16    49     0.491     41.838    39.985         81.824            82.315 
    addinc_PUs.._S3_add_18_16    49     0.481     44.996    40.568         85.564            86.044 
    PUs[8].U_F..S13_add_41_16    41     0.377     42.520    34.423         76.943            77.320 
    PUs[9].U_F..S13_add_41_16    40     0.368     42.236    34.002         76.238            76.606 
    PUs[0].U_F..S17_add_41_16    78     0.365     68.201   100.181        168.382           168.747 
    PUs[5].U_F..S13_add_41_16    39     0.365     44.037    35.907         79.944            80.309 
    PUs[14].U_..S13_add_41_16    39     0.365     41.789    34.354         76.143            76.507 
    addinc_PUs.._S2_add_18_16    72     0.361     30.871    46.201         77.072            77.434 
    PUs[13].U_..S13_add_41_16    39     0.361     40.294    32.132         72.426            72.787 
    PUs[15].U_..S13_add_41_16    39     0.359     41.655    33.454         75.109            75.468 
    PUs[4].U_F..S17_add_41_16    77     0.358     67.377   107.958        175.335           175.693 
    PUs[5].U_F..S17_add_41_16    77     0.358     63.846   102.199        166.046           166.403 
    PUs[3].U_F..S17_add_41_16    77     0.357     66.837   105.559        172.396           172.753 
