============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:44:26 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    gte_734_34                    3     0.010     0.384     0.863          1.247             1.257 
  clipping[14].U_clip            11     0.049     5.143     3.926          9.069             9.118 
    gte_734_34                    3     0.010     0.581     1.205          1.786             1.797 
  clipping[0].U_clip             11     0.049     4.933     4.007          8.941             8.990 
    gte_734_34                    3     0.010     0.477     1.332          1.810             1.820 
  clipping[12].U_clip            11     0.049     5.009     3.771          8.779             8.828 
    gte_734_34                    3     0.010     0.501     1.080          1.581             1.592 
  clipping[6].U_clip             11     0.049     5.427     4.172          9.599             9.648 
    gte_734_34                    3     0.010     0.617     1.296          1.913             1.922 
  clipping[11].U_clip            11     0.049     4.935     3.725          8.660             8.709 
    gte_734_34                    3     0.010     0.526     1.096          1.622             1.632 
  clipping[9].U_clip             11     0.048     4.993     3.913          8.905             8.954 
    gte_734_34                    3     0.010     0.705     1.346          2.051             2.061 
  clipping[4].U_clip             11     0.045     2.165     2.084          4.249             4.294 
    gte_734_34                    3     0.010     0.471     1.064          1.535             1.545 
  clipping[1].U_clip             11     0.045     2.491     2.310          4.801             4.846 
    gte_734_34                    3     0.010     0.578     1.158          1.737             1.746 
  clipping[7].U_clip             11     0.045     1.744     1.549          3.292             3.337 
    gte_734_34                    3     0.010     0.617     0.876          1.493             1.503 
  clipping[16].U_clip            11     0.045     1.731     1.507          3.237             3.282 
    gte_734_34                    3     0.010     0.512     0.780          1.292             1.301 
  clipping[10].U_clip            11     0.045     1.904     1.726          3.631             3.675 
    gte_734_34                    3     0.010     0.495     0.884          1.379             1.389 
  clipping[13].U_clip            11     0.044     1.895     1.847          3.743             3.787 
    gte_734_34                    3     0.009     0.325     0.904          1.229             1.239 
  clipping[4..ip_gte_734_34       3     0.011     0.738     1.344          2.082             2.093 
  clipping[4..ip_gte_734_34       3     0.010     0.335     0.919          1.254             1.264 
  clipping[2..ip_gte_734_34       3     0.010     0.496     1.211          1.707             1.717 
  clipping[3..ip_gte_734_34       3     0.010     0.613     1.120          1.733             1.744 
